orderid,currentstate,quantity,price,stopprice,ioc,aon,quantityfilled,quantityonmarket,fillcost,buysell,orderbookid
46228886,submitted,2.398,7126.89,,,,,,,0,1
46228885,submitted,8.9,7127.36,,,,,,,0,1
46228884,submitted,0.3,7128.5,,,,,,,0,1
46228883,submitted,0.39154835,7129.53,,,,,,,0,1
46228882,submitted,4.06,7130.8,,,,,,,0,1
46228881,submitted,2.5,7132.22,,,,,,,0,1
46228880,submitted,0.3,7132.5,,,,,,,0,1
46228879,submitted,0.13974936,7133.69,,,,,,,0,1
46228878,submitted,0.02502719,7134.18,,,,,,,0,1
46228877,submitted,5.8,7134.29,,,,,,,0,1
46228876,submitted,0.33849015,7136,,,,,,,0,1
46228875,submitted,0.00479109,7136.01,,,,,,,0,1
46228874,submitted,0.3,7136.5,,,,,,,0,1
46228873,submitted,0.21212122,7137.38,,,,,,,0,1
46228872,submitted,3.3,7138.08,,,,,,,0,1
46228871,submitted,0.72,7138.09,,,,,,,0,1
46228870,submitted,0.15227909,7139.67,,,,,,,0,1
46228869,submitted,0.3,7140.5,,,,,,,0,1
46228868,submitted,0.7557467,7141,,,,,,,0,1
46228867,submitted,0.01386166,7142,,,,,,,0,1
46228866,submitted,6.1,7142.26,,,,,,,0,1
46228865,submitted,0.05,7142.6,,,,,,,0,1
46228864,submitted,0.25,7142.61,,,,,,,0,1
46228863,submitted,1,7143.55,,,,,,,0,1
46228862,submitted,0.3,7144.5,,,,,,,0,1
46228861,submitted,1,7144.89,,,,,,,0,1
46228860,submitted,4.9989,7145.39,,,,,,,0,1
46228859,submitted,1,7146.52,,,,,,,0,1
46228858,submitted,1,7147.96,,,,,,,0,1
46228857,submitted,0.3,7148.64,,,,,,,0,1
46228856,submitted,1.093,7149,,,,,,,0,1
46228855,submitted,6.13902097,7150,,,,,,,0,1
46228854,submitted,2.42,7150.01,,,,,,,0,1
46228853,submitted,1.036,7151.2,,,,,,,0,1
46228852,submitted,0.3,7152.83,,,,,,,0,1
46228851,submitted,9.99999,7155,,,,,,,0,1
46228850,submitted,0.7989496,7155.01,,,,,,,0,1
46228849,submitted,3.7834,7155.22,,,,,,,0,1
46229701,submitted,12.66058997,7173.37,,,,,,,1,1
46229702,submitted,4.802401474,7180,,,,,,,1,1
46229703,submitted,2.5,7182.67,,,,,,,1,1
46229704,submitted,5,7185,,,,,,,1,1
46229705,submitted,0.3,7185.05,,,,,,,1,1
46229706,submitted,0.3,7189.05,,,,,,,1,1
46229707,submitted,0.098,7190.94,,,,,,,1,1
46229708,submitted,4.86,7191.16,,,,,,,1,1
46229709,submitted,0.3,7193.05,,,,,,,1,1
46229710,submitted,0.2443357,7194.28,,,,,,,1,1
46229711,submitted,0.00488532,7194.44,,,,,,,1,1
46229712,submitted,4.51,7194.84,,,,,,,1,1
46229713,submitted,1.08,7196.41,,,,,,,1,1
46229714,submitted,0.3,7197.05,,,,,,,1,1
46229715,submitted,0.547,7198.61,,,,,,,1,1
46229716,submitted,8.6,7198.71,,,,,,,1,1
46229717,submitted,0.366823867,7199.21,,,,,,,1,1
46229718,submitted,5,7200,,,,,,,1,1
46229719,submitted,0.3,7201.05,,,,,,,1,1
46229720,submitted,0.16093837,7204.76,,,,,,,1,1
46229721,submitted,10.1,7205.02,,,,,,,1,1
46229722,submitted,0.3,7205.05,,,,,,,1,1
46229723,submitted,0.24,7205.84,,,,,,,1,1
46229724,submitted,0.3,7209.05,,,,,,,1,1
46229725,submitted,2.41,7210.85,,,,,,,1,1
46229726,submitted,0.3,7213.05,,,,,,,1,1
46229727,submitted,0.71,7213.29,,,,,,,1,1
46229728,submitted,2.871,7213.43,,,,,,,1,1
46229729,submitted,10.56,7213.68,,,,,,,1,1
46229730,submitted,0.16111763,7215.72,,,,,,,1,1
46229731,submitted,10.33,7219.03,,,,,,,1,1
46229732,submitted,0.05,7221.6,,,,,,,1,1
46229733,submitted,0.24605595,7223.88,,,,,,,1,1
46229734,submitted,23.97,7227.4,,,,,,,1,1
46229735,submitted,0.05,7228.8,,,,,,,1,1
46229736,submitted,0.05,7236,,,,,,,1,1
46229737,submitted,0.00488532,7241.93,,,,,,,1,1
46229738,submitted,2.716,7249.57,,,,,,,1,1
46229739,submitted,0.025,7263,,,,,,,1,1
46229740,submitted,0.05,7264.8,,,,,,,1,1
46229741,submitted,0.30212892,7281.66,,,,,,,1,1
46229742,submitted,0.02746091,7283.08,,,,,,,1,1
46229743,submitted,0.00488532,7289.42,,,,,,,1,1
46229744,submitted,0.00007332,7295.44,,,,,,,1,1
46229745,submitted,0.00007332,7298,,,,,,,1,1
46229746,submitted,6.45088164,7300,,,,,,,1,1
46229747,submitted,0.00342464,7300.04,,,,,,,1,1
46229748,submitted,0.00007332,7300.57,,,,,,,1,1
46229749,submitted,0.00007332,7303.13,,,,,,,1,1
46229750,submitted,0.004442,7303.48,,,,,,,1,1
46229751,submitted,5.075,7303.49,,,,,,,1,1
46229752,submitted,0.71781,7304.89,,,,,,,1,1
46229753,submitted,0.00007332,7305.69,,,,,,,1,1
46229754,submitted,0.051223,7307.68,,,,,,,1,1
46229755,submitted,0.00007332,7308.25,,,,,,,1,1
46229756,submitted,0.00007332,7310.82,,,,,,,1,1
46229757,submitted,0.00007332,7313.38,,,,,,,1,1
46229758,submitted,0.00007332,7315.94,,,,,,,1,1
46229759,submitted,0.00007332,7318.5,,,,,,,1,1
46229760,submitted,0.71781,7319.44,,,,,,,1,1
46229761,submitted,0.00007332,7321.07,,,,,,,1,1
46229762,submitted,0.00007332,7323.63,,,,,,,1,1
46229763,submitted,0.00007332,7326.19,,,,,,,1,1
46229764,submitted,0.00007332,7328.75,,,,,,,1,1
46229765,submitted,0.00007332,7331.32,,,,,,,1,1
46229766,submitted,0.00007332,7333.88,,,,,,,1,1
46229767,submitted,4.7,7334.3,,,,,,,1,1
46229768,submitted,0.00007332,7336.44,,,,,,,1,1
46229769,submitted,0.00488532,7336.9,,,,,,,1,1
46229770,submitted,0.00007332,7339,,,,,,,1,1
46229771,submitted,0.00007332,7341.57,,,,,,,1,1
46229772,submitted,0.4155,7344,,,,,,,1,1
46229773,submitted,0.00007332,7344.13,,,,,,,1,1
46229774,submitted,0.00007332,7346.69,,,,,,,1,1
46229775,submitted,0.71781,7348.55,,,,,,,1,1
46229776,submitted,0.00007332,7349.25,,,,,,,1,1
46229777,submitted,0.32263196,7350,,,,,,,1,1
46229778,submitted,0.00007332,7351.82,,,,,,,1,1
46229779,submitted,0.00007332,7354.38,,,,,,,1,1
46229780,submitted,0.00007332,7356.94,,,,,,,1,1
46229781,submitted,7.588,7357.41,,,,,,,1,1
46229782,submitted,0.00007332,7359.5,,,,,,,1,1
46229783,submitted,0.00007332,7362.07,,,,,,,1,1
46229784,submitted,0.00007332,7364.63,,,,,,,1,1
46229785,submitted,0.00007332,7367.19,,,,,,,1,1
46229786,submitted,0.00007332,7369.75,,,,,,,1,1
46229787,submitted,0.00007332,7372.32,,,,,,,1,1
46229788,submitted,0.00007332,7374.88,,,,,,,1,1
46229789,submitted,0.00007332,7377.44,,,,,,,1,1
46229790,submitted,0.00007332,7380,,,,,,,1,1
46229791,submitted,0.00007332,7382.57,,,,,,,1,1
46229792,submitted,0.00488532,7384.39,,,,,,,1,1
46229793,submitted,0.00007332,7385.13,,,,,,,1,1
46229794,submitted,0.00007332,7387.69,,,,,,,1,1
46229795,submitted,0.00007332,7390.25,,,,,,,1,1
46229796,submitted,0.00007332,7392.82,,,,,,,1,1
46229797,submitted,0.00338066,7395,,,,,,,1,1
46229798,submitted,0.00007332,7395.38,,,,,,,1,1
46229799,submitted,0.00007332,7397.94,,,,,,,1,1
46229800,submitted,0.55379322,7399,,,,,,,1,1
46229900,submitted,0.00341064,7083.49,,,,,,,0,1
46229899,submitted,0.05646527,7084,,,,,,,0,1
46229898,submitted,0.000075,7085,,,,,,,0,1
46229897,submitted,0.00161345,7085.18,,,,,,,0,1
46229896,submitted,0.000075,7087.5,,,,,,,0,1
46229895,submitted,5,7088,,,,,,,0,1
46229894,submitted,0.1,7088.07,,,,,,,0,1
46229893,submitted,0.000075,7090,,,,,,,0,1
46229892,submitted,0.00352608,7090.01,,,,,,,0,1
46229891,submitted,0.000075,7092.5,,,,,,,0,1
46229890,submitted,0.00057654,7093.98,,,,,,,0,1
46229889,submitted,11.89,7094.99,,,,,,,0,1
46229888,submitted,0.000075,7095,,,,,,,0,1
46229887,submitted,0.000075,7097.5,,,,,,,0,1
46229886,submitted,0.00140877,7098.39,,,,,,,0,1
46229885,submitted,0.00488532,7099.47,,,,,,,0,1
46229884,submitted,0.10563395,7099.99,,,,,,,0,1
46229883,submitted,2.57959913,7100,,,,,,,0,1
46229882,submitted,0.00165909,7100.32,,,,,,,0,1
46229881,submitted,0.1667,7101,,,,,,,0,1
46229880,submitted,0.03520625,7101.01,,,,,,,0,1
46229879,submitted,0.0140311,7102.08,,,,,,,0,1
46229878,submitted,0.000075,7102.5,,,,,,,0,1
46229877,submitted,0.3786599,7104,,,,,,,0,1
46229876,submitted,0.00220146,7104.36,,,,,,,0,1
46229875,submitted,2.961,7104.48,,,,,,,0,1
46229874,submitted,0.02822419,7105,,,,,,,0,1
46229873,submitted,0.00071624,7105.38,,,,,,,0,1
46229872,submitted,0.000075,7107.5,,,,,,,0,1
46229871,submitted,0.00070345,7107.78,,,,,,,0,1
46229870,submitted,0.07142858,7108.19,,,,,,,0,1
46229869,submitted,0.070075,7110,,,,,,,0,1
46229868,submitted,0.000075,7112.5,,,,,,,0,1
46229867,submitted,0.0135887,7115,,,,,,,0,1
46229866,submitted,0.07027387,7115.02,,,,,,,0,1
46229865,submitted,0.24932096,7118.05,,,,,,,0,1
46229864,submitted,9.3,7118.77,,,,,,,0,1
46229863,submitted,0.00228661,7119.69,,,,,,,0,1
46229862,submitted,0.10902471,7120,,,,,,,0,1
46229861,submitted,23.98,7121.2,,,,,,,0,1
46229860,submitted,1.05181052,7125,,,,,,,0,1
46229859,submitted,0.16317902,7126.4,,,,,,,0,1
46229858,submitted,8.9,7127.36,,,,,,,0,1
46229857,submitted,0.00070148,7127.78,,,,,,,0,1
46229856,submitted,0.05,7128.4,,,,,,,0,1
46229855,submitted,1,7130,,,,,,,0,1
46229854,submitted,2.789,7133.45,,,,,,,0,1
46229853,submitted,0.13974936,7133.69,,,,,,,0,1
46229852,submitted,9.0951,7134.04,,,,,,,0,1
46229851,submitted,0.02502719,7134.18,,,,,,,0,1
46229850,submitted,0.15738571,7134.32,,,,,,,0,1
46229849,submitted,1,7135,,,,,,,0,1
46229848,submitted,0.05,7135.5,,,,,,,0,1
46229847,submitted,0.33849015,7136,,,,,,,0,1
46229846,submitted,0.00479109,7136.01,,,,,,,0,1
46229845,submitted,0.21212122,7137.38,,,,,,,0,1
46229844,submitted,0.00070049,7137.78,,,,,,,0,1
46229843,submitted,1,7139,,,,,,,0,1
46229842,submitted,1,7140,,,,,,,0,1
46229841,submitted,0.7557467,7141,,,,,,,0,1
46229840,submitted,8.91,7141.16,,,,,,,0,1
46229839,submitted,4.9781,7141.5,,,,,,,0,1
46229838,submitted,0.01386166,7142,,,,,,,0,1
46229837,submitted,2.5,7144.7,,,,,,,0,1
46229836,submitted,0.32,7144.8,,,,,,,0,1
46229835,submitted,3,7145,,,,,,,0,1
46229834,submitted,0.3,7145.98,,,,,,,0,1
46229833,submitted,0.16123152,7146.18,,,,,,,0,1
46229832,submitted,9.2916,7147.38,,,,,,,0,1
46229831,submitted,0.00104927,7147.78,,,,,,,0,1
46229830,submitted,0.99998,7149,,,,,,,0,1
46229829,submitted,0.3,7149.98,,,,,,,0,1
46229828,submitted,0.01590255,7150,,,,,,,0,1
46229827,submitted,0.3,7152.09,,,,,,,0,1
46229826,submitted,0.3,7153.09,,,,,,,0,1
46229825,submitted,0.97,7153.1,,,,,,,0,1
46229824,submitted,0.3,7154.31,,,,,,,0,1
46229823,submitted,0.00069881,7155,,,,,,,0,1
46229822,submitted,2.42,7155.01,,,,,,,0,1
46229821,submitted,3.4142,7156.35,,,,,,,0,1
46229820,submitted,0.3,7158.37,,,,,,,0,1
46229819,submitted,0.15559423,7158.42,,,,,,,0,1
46229818,submitted,0.0146129,7160,,,,,,,0,1
46229817,submitted,4.4,7160.01,,,,,,,0,1
46229816,submitted,0.3,7162.38,,,,,,,0,1
46229815,submitted,1,7162.98,,,,,,,0,1
46229814,submitted,2.4579,7163.04,,,,,,,0,1
46229813,submitted,1,7164.56,,,,,,,0,1
46229812,submitted,0.00347662,7165,,,,,,,0,1
46229811,submitted,1,7165.85,,,,,,,0,1
46229810,submitted,5.4,7166.81,,,,,,,0,1
46229809,submitted,0.3,7166.93,,,,,,,0,1
46229808,submitted,1,7167.22,,,,,,,0,1
46229807,submitted,0.069584,7167.88,,,,,,,0,1
46229806,submitted,2.0037,7168.83,,,,,,,0,1
46229805,submitted,2.8,7169.76,,,,,,,0,1
46229804,submitted,1.035,7171.03,,,,,,,0,1
46229803,submitted,0.3,7172.41,,,,,,,0,1
46229802,submitted,0.25,7173,,,,,,,0,1
46229801,submitted,1.65989188,7173.36,,,,,,,0,1
46230652,submitted,0.04055711,7207.32,,,,,,,1,1
46230653,submitted,1,7210.09,,,,,,,1,1
46230654,submitted,1.0896,7211.13,,,,,,,1,1
46230655,submitted,1,7211.63,,,,,,,1,1
46230656,submitted,0.3,7213.05,,,,,,,1,1
46230657,submitted,1,7213.69,,,,,,,1,1
